Filename,Weight Initialization,Activation,Class weights,Kernel Size,Max Norm,Dropout -filters,Dropout - dense,L2 - filters,L2- dense,Batch Size,Optimizer,Learning Rate,Lr decay,BN momentum,Number of filters,Number of Dense Neurons,Best Val Acc Per Cardiac Cycle,Epoch,Training Acc per cardiac cycle,Sensitivity,Specificity,Macc,No of Abnormal Strongly Mislabeled,No of Normal Strongly Mislabeled,Comments
*fold2 2018-01-14 11:11:00.255860,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0007,,0.99,"(8, 4)",20,86.1128110257,136.0,94.1402001506,88.8888888889,92.2305764411,90.559732665,,,
fold2_noFIR 2018-01-14 13:30:47.453123,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0007,,0.99,"(8, 4)",20,84.3978088612,126.0,94.1812594438,81.2865497076,94.8203842941,88.0534670008,,,
*fold2_noFIR 2018-01-14 14:54:03.216350,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0001,,0.99,"(8, 4)",20,83.6082212705,35.0,93.9182974812,80.3675856308,97.4101921471,88.8888888889,,,
fold2_noFIR 2018-01-14 15:46:18.466995,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,,0.99,"(8, 4)",20,86.7740346645,14.0,91.7757323156,90.0584795322,90.1420217209,90.1002506266,,,
fold2_noFIR 2018-01-14 15:46:35.466453,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,1.36e-05,,0.99,"(8, 4)",20,80.9409376574,13.0,89.2377205342,74.3525480368,95.3216374269,84.8370927318,,,
*fold2_noFIR 2018-01-14 16:02:18.585434,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,5.419067672,,0.99,"(8, 4)",20,46.358792186,0.0,82.0809488532,0.0,100.0,50.0,,,
fold2_noFIR 2018-01-14 16:02:38.011210,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0001060894,,0.99,"(8, 4)",20,82.6335507602,13.0,92.2474579737,78.2790309106,96.8253968254,87.552213868,,,
fold2_noFIR 2018-01-14 16:07:05.525815,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,2.35e-06,,0.99,"(8, 4)",20,68.0231950703,19.0,84.9701088347,47.8070175439,90.2046783625,69.0058479532,,,
fold2_noFIR 2018-01-14 16:20:40.390892,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.000161461,,0.99,"(8, 4)",20,82.3663746174,16.0,92.6080498114,76.5246449457,97.4937343358,87.0091896408,,,
fold2_noFIR 2018-01-14 16:20:55.440774,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.000129292,,0.99,"(8, 4)",20,82.611161697,13.0,92.4334109508,77.276524645,97.3266499582,87.3015873016,,,
